-543004597#2,587,6,78
-55970918#1,1777,7,71
-575067078,3159,3,290
-584745737#1,0,0,0
-592844775#4,219,12,5
-610857387,485,7,50
-621817219,2686,5,161
-622091754#1,408,8,35
-629519738,1625,7,71
-80239245,938,11,29
-86414062,1106,12,15
-88714905#4,1369,12,19
-89840540,1926,3,184
-89840550#1,0,0,0
-90236827,0,0,0
-97241128,1984,13,22
10073617#0.374,8,7,0
10100891#0,465,12,5
102602041,679,0,344
10410486,2567,10,26
112572407,343,12,9
112958696#0.582,2223,7,128
114254840#0,514,11,18
114275402,1522,10,29
11536962#0,0,0,0
115956658,821,6,20
118282022#0,1820,12,40
120208450#0,106,12,1
124559493,641,10,27
125136376#0,0,0,0
126760937#0,1802,12,27
127977585,3534,12,16
132804156#0,1762,13,16
134171421#0,1370,12,8
134171442,353,12,9
134171443,1048,13,8
134171457#0,1868,12,21
134932938,1136,9,41
141226245#0,365,10,12
141432703#0,1675,2,230
142687253,311,12,8
142757319,368,15,8
142771970#0,0,0,0
142808368,236,13,6
142970760,138,15,2
14328032#0,13,12,0
14328335,0,0,0
143304972#0,0,0,0
143558083#0,762,12,8
144135873,483,13,12
144278190#0,4687,3,376
144279540#0,3205,0,417
144410972#0,1094,10,20
144410974#0,1041,11,17
144412085#0,1509,11,23
144435600#0,1366,13,11
144692953,1887,5,113
145178196#0,426,13,5
145178215#0,1151,12,8
145628202#0,1440,7,66
145981895,1,0,0
146003140#0,0,0,0
146007626,3558,11,36
146050879,211,13,5
146050887,2502,3,170
146234212,1516,8,84
146234214,3895,6,132
146256531,1058,13,14
146504815,2131,4,151
146537576,1061,12,9
146630737#0.88,1236,13,10
146631481#0,2124,5,117
146632728,502,15,5
146760790,58,16,1
146792402#0,350,13,2
146808037#0,1106,12,17
146979726,0,0,0
147560035#0,354,12,4
147926678#0,538,9,35
148365767#1,170,15,3
148857890#0,2523,3,151
149019852,0,0,0
149755008#0,540,7,17
149782118#0,2959,1,242
149788627#0,63,13,1
149789269,424,6,47
149873839#0,656,6,76
149935566,3526,7,76
149935567,4116,9,70
149957618#0,0,0,0
150393011#0,1183,5,130
150581337#0,465,11,8
150829376,845,2,168
151082434,1810,4,109
151087441#0,1066,11,18
151087447#0,263,12,7
151263118,1376,12,19
151265799#0,0,0,0
151406643#0,202,13,5
151513693#0,1976,12,31
151521565#2,457,8,39
151534059#0,2458,8,80
151636223#0,207,12,7
151652975#0,1614,11,23
151764837,782,1,176
151782105#0,1778,10,32
151784477#0,0,0,0
151788874,108,12,2
151821759#0,722,11,4
151847531#0,926,6,86
151850904#0,2348,10,34
151866851#0,1148,11,24
151996170#0,98,6,5
152503558#0,316,13,3
152582356,0,0,0
152582357,230,13,1
152902343#0,224,12,6
152970938#0,100,13,1
153236876,152,9,24
153465098#0,396,12,11
154359841#0,1141,15,8
154516713,1261,5,104
155365540,0,0,0
155572665,999,0,222
155572668,1061,12,17
155580139,1993,11,23
155580612,956,2,170
156452215#0,213,12,5
156454379,266,13,6
156640178#0,120,13,1
156640187#0,0,0,0
157946255,159,13,3
157964861#0,2324,12,25
160610746,627,11,18
168719672,547,12,17
174960048,482,6,80
174960052,655,13,8
174960102,334,5,103
178703469#0,0,0,0
182664848#0,1429,10,35
184058031,286,9,28
185524469#0,0,0,0
185524470,0,0,0
185524471#0,0,0,0
185525034#0,0,0,0
185525035#0,0,0,0
185596164,0,0,0
186287089,1335,12,14
186296206#0,1550,15,6
186553873,1747,3,150
189183930,1601,5,76
189183931#0,758,9,46
189184129,1578,8,52
18954784,1953,2,252
18957151,446,7,10
18959384,3354,7,121
192647151#0,1294,13,12
19371510,1376,7,70
19437819,318,12,8
19439469#0,546,12,7
19440014#0,1082,12,17
19440094#0,527,13,6
205348045,2993,11,22
205357854#1,1071,12,15
221232037,0,0,0
223981874#0,206,13,4
224855182#0,123,13,2
22561213#0,0,0,0
227043237,648,15,4
22931122#0,0,3,0
22931494#0,1092,12,17
22931826,485,13,3
22931827,6,3,0
22971286,175,15,1
229715423#0,289,9,18
229715425#0,0,0,0
229715439,1608,10,44
22972324#0,0,0,0
230115571#0,2173,13,14
230122229#0,1928,13,10
230122234#0,501,13,7
230139223#0,1642,13,13
230251449#0,703,13,9
230251450#0,549,12,10
