interval_begin;interval_end;interval_id;interval_sampledSeconds;interval_departed;interval_arrived;interval_entered;interval_left;interval_density;interval_laneDensity;interval_occupancy;interval_waitingTime;interval_timeLoss;interval_speed;interval_vaporized;typedInterval_begin;typedInterval_end;typedInterval_id;typedInterval_type;typedInterval_departed;typedInterval_arrived;typedInterval_entered;typedInterval_left;typedInterval_sampledSeconds;typedInterval_density;typedInterval_occupancy;typedInterval_waitingTime;typedInterval_timeLoss;typedInterval_speed;typedInterval_vaporized
29700.00;30600.00;e1Detector_260756022_1_805;442.70;0;0;68;69;5.65;2.83;1.41;0.00;3.31;13.49;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756029#0_0_1169;278.84;4;5;91;90;8.09;2.70;1.35;0.00;9.90;13.18;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756029#0_1_1170;278.84;4;5;91;90;8.09;2.70;1.35;0.00;9.90;13.18;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756029#0_2_1171;278.84;4;5;91;90;8.09;2.70;1.35;0.00;9.90;13.18;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756032_0_841;628.54;0;18;98;80;8.02;4.01;2.01;0.00;6.79;13.57;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756032_1_842;628.54;0;18;98;80;8.02;4.01;2.01;0.00;6.79;13.57;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756036#0_0_838;338.29;8;11;76;73;7.03;2.34;1.17;0.00;5.50;13.28;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756036#0_1_839;338.29;8;11;76;73;7.03;2.34;1.17;0.00;5.50;13.28;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_260756036#0_2_840;338.29;8;11;76;73;7.03;2.34;1.17;0.00;5.50;13.28;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_261314510#0_0_146;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_261314510#0_1_147;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_261604625#0_1_950;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_261604625#0_2_951;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264448396#0_0_1378;112.66;0;0;15;15;1.23;0.61;0.31;0.00;0.43;13.55;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264448396#0_1_1379;112.66;0;0;15;15;1.23;0.61;0.31;0.00;0.43;13.55;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264478234#0_0_518;310.26;0;0;45;45;3.76;1.88;0.94;0.00;6.60;13.30;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264478234#0_1_517;310.26;0;0;45;45;3.76;1.88;0.94;0.00;6.60;13.30;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264955140#0_0_73;127.36;8;9;81;80;7.84;7.84;3.92;0.00;8.80;12.62;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264955141#0_0_524;322.13;6;1;91;97;8.09;4.04;2.02;0.00;4.74;13.40;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264955141#0_1_525;322.13;6;1;91;97;8.09;4.04;2.02;0.00;4.74;13.40;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264964139#0_0_69;382.94;21;30;59;49;6.56;6.56;3.28;0.00;7.91;13.53;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_264964139#0_0_72;382.94;21;30;59;49;6.56;6.56;3.28;0.00;7.91;13.53;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616622#0_0_906;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616622#0_1_907;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616622#0_2_908;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616622#0_3_909;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616995#0_0_44;43.16;0;0;18;18;1.48;0.37;0.19;0.00;0.00;13.48;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616995#0_1_45;43.16;0;0;18;18;1.48;0.37;0.19;0.00;0.00;13.48;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616995#0_2_46;43.16;0;0;18;18;1.48;0.37;0.19;0.00;0.00;13.48;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616995#0_3_47;43.16;0;0;18;18;1.48;0.37;0.19;0.00;0.00;13.48;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616996#0_0_56;281.09;12;9;47;50;4.83;1.61;0.80;0.00;0.74;13.59;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_265616996#0_1_55;281.09;12;9;47;50;4.83;1.61;0.80;0.00;0.74;13.59;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_266415535#0_0_1293;333.56;0;0;116;118;9.89;3.30;1.65;0.00;12.83;13.12;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_266415535#0_1_1294;333.56;0;0;116;118;9.89;3.30;1.65;0.00;12.83;13.12;;;;;;;;;;;;;;;;
